,0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
236511,0,1980014626,Sun May 31 05:22:50 PDT 2009,NO_QUERY,kewlet,im just so confused. 
54467,0,1681101729,Sat May 02 13:13:05 PDT 2009,NO_QUERY,crrystalbabe,@ms_monicaa Nope  ROFLLL. Connections.
1464304,4,2064228204,Sun Jun 07 05:38:38 PDT 2009,NO_QUERY,colorful_dreams,@fuckforever_ ficou bom 
760897,0,2296999503,Tue Jun 23 09:54:07 PDT 2009,NO_QUERY,mamacorder,@timcorder Thanks for calling me at some point today to tell me you were alive! Now I can't talk to you till you get home tonite 
868572,4,1677960309,Sat May 02 04:52:31 PDT 2009,NO_QUERY,AishaDupree,@yolandagreene We Gonna Show That &quot;Homo Team&quot;  What Its About!!!!      
817212,4,1551682399,Sat Apr 18 09:42:03 PDT 2009,NO_QUERY,mehlywep,@Webmor Tillykke med titlen 
1200842,4,1985574141,Sun May 31 17:21:57 PDT 2009,NO_QUERY,Etown_Jenn,@bethie138  i looked so bad! and they said Stand By Me. there old band name
165971,0,1961105835,Fri May 29 08:59:45 PDT 2009,NO_QUERY,cy_reen,"I was on time three shifts in a row.  but I woke up at 840 and work's at 9. five minutes late, ugh! -_-"
424405,0,2063089248,Sun Jun 07 01:19:49 PDT 2009,NO_QUERY,jessyjeslee,"sorry @frichiela and @margarethaudrey, my internet was disconnected, and when it connected, the MSN was having an error and need to close "
501682,0,2187276343,Mon Jun 15 20:02:52 PDT 2009,NO_QUERY,Leonie_Loo,Im trying to finish my work for college!  Its not working! 
815175,4,1551024998,Sat Apr 18 07:56:32 PDT 2009,NO_QUERY,DeannaSlater,"Saturday, finally!  "
1328739,4,2015557078,Wed Jun 03 04:58:29 PDT 2009,NO_QUERY,GeorginaLLewis,Now have WIndows RC - and its even faster than beta 
700178,0,2254684663,Sat Jun 20 10:07:37 PDT 2009,NO_QUERY,tierrafilhiol,@MobiMom I don't know if the sodium will do your tummy or possible cotton mouth any good 
1056885,4,1962629069,Fri May 29 11:21:07 PDT 2009,NO_QUERY,fitprosarah,@greenteagirl yes ma'am!  
33961,0,1564662725,Mon Apr 20 04:27:49 PDT 2009,NO_QUERY,mw20iscrushin,getting ready.      20 days left to spend with him 
821109,4,1553953109,Sat Apr 18 15:39:56 PDT 2009,NO_QUERY,CARLEEBARLEY,Listening to leighton meester... I cant wait for her cd! Go look up her song &quot;birthday.&quot; i love it. 
79833,0,1752018853,Sat May 09 20:51:04 PDT 2009,NO_QUERY,CarvalhoJuliana,miss some people    but now is bed
1088212,4,1969573936,Sat May 30 00:29:03 PDT 2009,NO_QUERY,littlemissmessy,"@thescript earplugs? well, I hope you'll find at least a little sleep and rest! enjoy NYC nevertheless!! "
759282,0,2296106002,Tue Jun 23 08:46:26 PDT 2009,NO_QUERY,xXxaimeejoxXx,@jonaskevin ~Morning! did ya sleep well?! its quarter to 5 here and im still doing coursework!  lol! but hopefully will be worrth it!  x
247658,0,1982527807,Sun May 31 11:23:20 PDT 2009,NO_QUERY,kikukaling,"waahh, the ending of 敗犬女王 was so good! sad it's over now, though "
956067,4,1825160255,Sun May 17 04:36:23 PDT 2009,NO_QUERY,travelrants,"Have a good day, time for the cinema "
1304471,4,2010527204,Tue Jun 02 17:31:55 PDT 2009,NO_QUERY,Melkie,"@mikeyway Watch this, sleeping beauty.. : http://bit.ly/dlGXa  aww Adam-Mikey "
377808,0,2051972022,Fri Jun 05 23:17:32 PDT 2009,NO_QUERY,hay_b,"@ohsumara So, is your laundry dry? Mine's not   Although sun is out, clothes need to be in direct sun to dry, air temp is still too cold."
1494893,4,2069809188,Sun Jun 07 16:34:00 PDT 2009,NO_QUERY,kellypxox,@ciararyandreams aww they are such a cute couple 
650422,0,2237561094,Fri Jun 19 06:00:21 PDT 2009,NO_QUERY,GregFeezel,is hearing Pink Floyd 'Another Brick in the Wall' on muzak...ugh 
1323939,4,2014957316,Wed Jun 03 03:14:45 PDT 2009,NO_QUERY,nzemily,@brookefraser Izzy would definitely agree with you on that one!! 
1337856,4,2017840134,Wed Jun 03 09:01:59 PDT 2009,NO_QUERY,Megurn_ox,"@ddlovato haha your so funny, i'll be sure to buy that perfume  xx"
1055182,4,1962160994,Fri May 29 10:37:03 PDT 2009,NO_QUERY,wproof,@PofMagicfingers &quot;design milkshake de shtroumpf&quot; : c'est assez �a... 
971328,4,1831959197,Sun May 17 19:51:42 PDT 2009,NO_QUERY,fifiklatich,"Going to bed after a long day in the lake, love boats "
1332697,4,2016248884,Wed Jun 03 06:26:40 PDT 2009,NO_QUERY,MsKoko09,Top of the Morning Tweeties! A lovely day in the neighborhood. U are the star that shines day &amp; night. Don't let it fade out!  
1477264,4,2066266779,Sun Jun 07 10:11:45 PDT 2009,NO_QUERY,cder,"I'm off doing stupid crap, the only certain result of which is me in the ER. Tata "
1338430,4,2018149261,Wed Jun 03 09:30:53 PDT 2009,NO_QUERY,misspretty03,@snucky84 not big.... Just thick and sexy.... 
647776,0,2236855749,Fri Jun 19 04:41:03 PDT 2009,NO_QUERY,alew1014,On the road! Its early and my mom won't let me have coffee because she doesn't want me to be hyper in the car.   
892536,4,1691235140,Sun May 03 17:24:17 PDT 2009,NO_QUERY,thetylerhayes,"@JoeSobieck Biz has been OK, tho I'm transitioning from running my computer repair biz to trying to find SM/marketing/sales path I like "
1040867,4,1957004040,Thu May 28 23:15:10 PDT 2009,NO_QUERY,onat,@deeessay Thanks dave! 
1502626,4,2071731811,Sun Jun 07 19:50:31 PDT 2009,NO_QUERY,nyc_annabnana,listening to the new dave matthews band album....kudos....love it so far....soaks up any and all worries and concerns. 
807921,4,1469090380,Tue Apr 07 05:09:47 PDT 2009,NO_QUERY,gidabi,@eranium really geeks 
1265323,4,1999430796,Mon Jun 01 20:12:18 PDT 2009,NO_QUERY,ashleymiranda1,funny how niggas default on contracts and payment ect....and at the end of the day.....i still got paid 
1291822,4,2002943630,Tue Jun 02 05:32:02 PDT 2009,NO_QUERY,safia_,"- the first of a couple of friendly reminders that yeah, the LEADERS guys that look after you in chicago are making their LA debut. night "
498584,0,2186256719,Mon Jun 15 18:34:49 PDT 2009,NO_QUERY,currylover4ever,i'm so tired from four hours of sleep last night and i have to be up at 5:30 tomorrow to drive to S.A. to see my grandma in the hospital 
1347899,4,2044733224,Fri Jun 05 09:45:07 PDT 2009,NO_QUERY,RockyThunda,@IGM_CWood Too cute! 
1095922,4,1970270754,Sat May 30 03:09:48 PDT 2009,NO_QUERY,EmilyNatanya,Hotel booked in Manchester for the Kings! 
860789,4,1676483787,Fri May 01 22:10:54 PDT 2009,NO_QUERY,Angro1975,@CHRIS_Daughtry Your tweets amuse me.  You are my favorite Idol contestant of all the seasons. Thanks for putting out great music!
823554,4,1556013542,Sat Apr 18 21:22:08 PDT 2009,NO_QUERY,Imgabriela,Divine Mercy Novena: Ninth Day 
420827,0,2062289375,Sat Jun 06 22:49:17 PDT 2009,NO_QUERY,SFJ3,woken up at 6:30 by the thunder! no getting back to sleep now 
883574,4,1686154246,Sun May 03 04:02:48 PDT 2009,NO_QUERY,helen_bop,"@lucypaw @msmoss @missnixs Think the going rate is 2 per digit, but maybe you could get a 2-for-1 dealy? "
669344,0,2246228636,Fri Jun 19 17:16:57 PDT 2009,NO_QUERY,sherryannx3,It's raining.  i'm wet.
1093570,4,1970075787,Sat May 30 02:21:11 PDT 2009,NO_QUERY,lanceperez10,playing *falling - by david archuleta  nice song!
1335582,4,2017014064,Wed Jun 03 07:43:21 PDT 2009,NO_QUERY,arlynbug,wants SUN! pronto please 
1132550,4,1976030216,Sat May 30 16:26:11 PDT 2009,NO_QUERY,jenjen175,@TheAmyBrenneman roll your shoulders back and stick out your chest works for me 
623624,0,2229621705,Thu Jun 18 15:58:40 PDT 2009,NO_QUERY,funnyninjas,"Made another album art cover for TWCL: http://bit.ly/9Uvmt , kind of screwed it up. "
305318,0,1999963015,Mon Jun 01 21:08:48 PDT 2009,NO_QUERY,mabeswife,"Okay, gotta go to bed.  I've stayed up late enough."
874152,4,1679911532,Sat May 02 10:28:05 PDT 2009,NO_QUERY,JessicaMWalden,off to the carnival with 4 little muchkins  x
977532,4,1833745528,Mon May 18 00:18:39 PDT 2009,NO_QUERY,iget2work,@reidjjackson  can you vlog? what do you wanna do? chek out our site. (no ads nothing to buy) just saw your shout out about bein' bored! 
1497483,4,2070387383,Sun Jun 07 17:36:18 PDT 2009,NO_QUERY,wayway8,@MaryStringer_ 
320238,0,2003251012,Tue Jun 02 06:10:50 PDT 2009,NO_QUERY,Lilchocdipp,gud morning twitter fam! sleepy as hell rite now and dis rain aint makin it no better. 
8174,0,1470097109,Tue Apr 07 08:20:20 PDT 2009,NO_QUERY,coachcam30,ive been in the bed since saturday.... and its tuesday 
1147093,4,1978026133,Sat May 30 22:15:29 PDT 2009,NO_QUERY,Boyd182,Can't sleep. But it's for a good reason. 
549593,0,2202687142,Tue Jun 16 22:13:58 PDT 2009,NO_QUERY,janellemarice,my internet sucks right now and i don't know how to fix it 
1561287,4,2186552173,Mon Jun 15 19:00:12 PDT 2009,NO_QUERY,AuntJessTheMess,Watching tv with my baby 
637428,0,2234189897,Thu Jun 18 22:35:28 PDT 2009,NO_QUERY,RedNailPolish,is going to bed now!! I Am soooo tired and my neck is soooo sore still!! 
1076735,4,1967493602,Fri May 29 19:40:58 PDT 2009,NO_QUERY,staaceeyy,@Spidersamm yeah that is my secret. i set a trap.  
1416638,4,2057442324,Sat Jun 06 13:00:47 PDT 2009,NO_QUERY,darthrazorback,"Hey, you #Chuck fans!  #ChuckMeMondays are back in 2-days! Follow @ChuckMeMondays and/or have everyone you know do it too. "
1413717,4,2056896134,Sat Jun 06 11:59:56 PDT 2009,NO_QUERY,failingwords,"okay, so my hair is yellow.. -.- i'll fix it on monday "
433913,0,2065070401,Sun Jun 07 07:49:40 PDT 2009,NO_QUERY,cadybaby,Rainy baseball game 
1407372,4,2055506436,Sat Jun 06 09:26:31 PDT 2009,NO_QUERY,BURKEY_BURKE,I like story time 
1089054,4,1969662107,Sat May 30 00:46:51 PDT 2009,NO_QUERY,paulscott56,"@bmanley Meh! If a place could be considered hell, I have probably been there to do free software! "
1045389,4,1957543323,Fri May 29 00:50:02 PDT 2009,NO_QUERY,triishia,@SarahElizabbeth hi sarah  how are you?
1402217,4,2054674594,Sat Jun 06 07:51:31 PDT 2009,NO_QUERY,loving_my_DEW,@YoungQ ROB!!!! I'm in Camden!!!! 
487202,0,2181971737,Mon Jun 15 12:32:52 PDT 2009,NO_QUERY,worldsmycountry,aaah! Having one of those nightmare days where a combination of work and chores will wipe out my entire waking hours 
1417823,4,2057673037,Sat Jun 06 13:26:45 PDT 2009,NO_QUERY,chellek,@Kite13 um actually if you drive a few hours south it will be. 
1018433,4,1882013301,Fri May 22 06:03:15 PDT 2009,NO_QUERY,ASOS_Efe,#followfriday @aussieBum  for all the twit pics of male models  @fastidiousbabe  &amp;  @jetsetsocialite  for all the cool fashion updates 
1302166,4,2008077753,Tue Jun 02 13:35:14 PDT 2009,NO_QUERY,JoannaLord,"@jenamiller oh awesome thanks for clarifying and for the kind words, we should meet up  here at some point "
828261,4,1556987769,Sun Apr 19 01:23:25 PDT 2009,NO_QUERY,Samm_xo,@therealsavannah http://savannahworld.wordpress.com/ i made it  i hope you like it =] x
1319089,4,2014441384,Wed Jun 03 01:32:27 PDT 2009,NO_QUERY,Vincent_Ray,I just saw my mom's commercial  Yay!
962761,4,1827383047,Sun May 17 10:35:39 PDT 2009,NO_QUERY,Mo_Knee_Kah,@Albert238 r u playinb with ur phone during church?? 
629132,0,2231534274,Thu Jun 18 18:40:56 PDT 2009,NO_QUERY,trudesign7,"I figured out where my wallet is.  I threw it away, now I have to wait until tomorrow to see if the garbage was picked up. "
708538,0,2257332697,Sat Jun 20 14:10:12 PDT 2009,NO_QUERY,CALICO007,"@KimberlyDoll Hey sweetie, I tried the link but it's not working..   "
63908,0,1687828409,Sun May 03 09:41:23 PDT 2009,NO_QUERY,LuciMarcano,reality is so cruel  back to school tomorrow
231378,0,1978952891,Sun May 31 01:03:30 PDT 2009,NO_QUERY,NiftyKnits,"@LampEssentials it's annoying - I can fill in all the details, hit send, then it just freezes  wanted to leave a comment with the link!"
108436,0,1824280008,Sun May 17 00:43:28 PDT 2009,NO_QUERY,jameswillett,@timskirven i dont even have it... 
35648,0,1565322257,Mon Apr 20 06:28:34 PDT 2009,NO_QUERY,SusieFlynnWalsh,is having a very rainy day 
1314236,4,2013879302,Tue Jun 02 23:49:57 PDT 2009,NO_QUERY,Mmmblueberries,I recommed green tea to all you twitter people. It sorts your head out in a morning 
1131505,4,1975865068,Sat May 30 16:04:12 PDT 2009,NO_QUERY,theogor,@shanselman  My favorite was Lawn Order.    #cleverbiznames
1158,0,1468098122,Mon Apr 06 23:42:10 PDT 2009,NO_QUERY,britney101,my heart has been broken. 
186365,0,1968302292,Fri May 29 21:09:44 PDT 2009,NO_QUERY,mystyleonfire,Morning tweeple!! Its a busy day for me!! Should study a lot for the exam! More work to do in less time!!  #exam #annauniv
1289106,4,2002571055,Tue Jun 02 04:35:31 PDT 2009,NO_QUERY,labeet,"@SorenLorensen &gt; Will report back tomorrow on success rate, expect you to do the same "
221224,0,1976785661,Sat May 30 19:03:52 PDT 2009,NO_QUERY,K3lliLyn,@NatalieGrant I wish I had a reset button on my ipod..it froze on me tonight  hope its not broken
707243,0,2256943663,Sat Jun 20 13:32:45 PDT 2009,NO_QUERY,JusLisaE,@TheRealNoemad uhm really its overcast and chilly 
1048981,4,1960264410,Fri May 29 07:41:16 PDT 2009,NO_QUERY,staypaidtre829,"@CoryBooker Check out Newark, CA just because "
496878,0,2185707379,Mon Jun 15 17:47:11 PDT 2009,NO_QUERY,ryguy11,No The Hot Corner this week  too much complainning couldnt deal with it so im hopping to come back next week with a 2 week wrap up!?
1467715,4,2064646600,Sun Jun 07 06:49:26 PDT 2009,NO_QUERY,Nattjenta,"@thepitts  Hi cutie, thanks for the updates.  Maybe more often??  I know I ask too much.  "
550616,0,2202953644,Tue Jun 16 22:44:01 PDT 2009,NO_QUERY,Cinnamon_Chanel,@GaryHoliness ouuuup! I hope not... 
1391021,4,2053278227,Sat Jun 06 03:58:14 PDT 2009,NO_QUERY,Jekyx_Jade,"@ddlovato 21 july is the U.S. date to relase of your album, or is possible find it also in other country?  -Jade"
979176,4,1833904154,Mon May 18 00:53:01 PDT 2009,NO_QUERY,tricia_anne30,@ohmyjooo : hahaha it's pweety  credits to @MVamp_319 for the pweety word :]] and to @TotalGirlph too!!
670827,0,2246682105,Fri Jun 19 17:58:07 PDT 2009,NO_QUERY,MishNohouse,is so scared to become involved with someone !! not keen on the fighting and the hurting  ... 2nd fear is snakes
970147,4,1828012417,Sun May 17 11:54:41 PDT 2009,NO_QUERY,Kampferin,@dragonflyeyes added! 
1178489,4,1981595439,Sun May 31 09:29:18 PDT 2009,NO_QUERY,yourstylist,@tippielove lol!!! Do u have kids? I cant get my head round ur life in NYC - ur tweets confuse me!  
1207913,4,1988759525,Sun May 31 23:17:32 PDT 2009,NO_QUERY,adison88,"he came,he fought..and he has been knocked out .. "
101419,0,1794426402,Thu May 14 05:47:15 PDT 2009,NO_QUERY,Niecieden,"@FuriousPurpose thanks for headsup on spam attack! Enjoy show today, would like to hear about it. Sorry can't make this evening "
542324,0,2200390029,Tue Jun 16 18:50:06 PDT 2009,NO_QUERY,timmagaw,@MissCusano All of these food pictures you're posting are making me so hungry. All I have is pop tarts 
638005,0,2234334806,Thu Jun 18 22:51:42 PDT 2009,NO_QUERY,Dansmelly,laying in bed finally got service again! i miss bo 
8963,0,1548552230,Fri Apr 17 21:16:22 PDT 2009,NO_QUERY,vintagebellak,Just got twitter and has no clue how to use this thing 
1063753,4,1964526750,Fri May 29 14:22:38 PDT 2009,NO_QUERY,loquetus,hope everyone has great weekend! 
1258606,4,1997947225,Mon Jun 01 17:44:00 PDT 2009,NO_QUERY,TH3QU3EN,happy birthday to me!! 
1023289,4,1882973896,Fri May 22 07:48:03 PDT 2009,NO_QUERY,SineadHolohan,"Sinead is decidedly unimpressed, yes I am speaking about myself in the third person.....thats how unimpressed I am! "
698874,0,2254265290,Sat Jun 20 09:29:00 PDT 2009,NO_QUERY,marthpodi,Lost 1-2 to Jund aggro - he played 6 thoughtseize and 7 maelstrom pulse in the 3 games 
756153,0,2288627315,Mon Jun 22 19:24:32 PDT 2009,NO_QUERY,rodsonclavel,"Snsd=sexy - Lmfao, I confessed to her, and I got owned  I feel as if I should have rehearsed what to say,... http://tumblr.com/xwp24hdo3"
1113203,4,1972545132,Sat May 30 09:25:36 PDT 2009,NO_QUERY,MissM69,@richardquest mmmm sounds yummy 
911775,4,1752054114,Sat May 09 20:56:27 PDT 2009,NO_QUERY,gabhii,#bouvierb-day is on trending topics. ahh Happy Birthday Pierre Bouvier 
85948,0,1753978157,Sun May 10 04:24:45 PDT 2009,NO_QUERY,xliamx,@ebonyshmebony The link doesn't work 
1053976,4,1961832417,Fri May 29 10:06:40 PDT 2009,NO_QUERY,missweetreat,FF #MYPATNADEM @JohnJohnDaDon my patna dem @NikkiKisses my patna dem you know @DamienAidoo my patna dem! Follow... 
1372432,4,2051250414,Fri Jun 05 21:20:08 PDT 2009,NO_QUERY,webwoke,Gooo... move up by 1  89. technorati.com
119384,0,1828032473,Sun May 17 11:57:10 PDT 2009,NO_QUERY,lindsey_gayle,Sad this week is the last week for biggest loser 
107891,0,1824105356,Sun May 17 00:03:48 PDT 2009,NO_QUERY,alexthefob1991,I hate that i worry about stupid shit all the time x  -Rx-
183983,0,1967563329,Fri May 29 19:48:42 PDT 2009,NO_QUERY,paykan,Tonight is Jay Leno&quot;s  last night !!!!!!  I &lt;3 love U Jay !!!!
977953,4,1833785060,Mon May 18 00:27:07 PDT 2009,NO_QUERY,tooty_fruity88,has 2 job interviews lined up for next week 
208451,0,1973725716,Sat May 30 11:42:44 PDT 2009,NO_QUERY,alltimeliz,don't feel good 
1567051,4,2187905831,Mon Jun 15 20:59:25 PDT 2009,NO_QUERY,esseye_xox,love this http://bit.ly/2S3xlc    it says it all; follow @peterfacinelli people!
1283795,4,2001976260,Tue Jun 02 02:43:30 PDT 2009,NO_QUERY,hnprashanth,@9_6 It's coming very soon 
1344271,4,2039856495,Thu Jun 04 22:59:13 PDT 2009,NO_QUERY,Nimidhaliwal,can i just have a little! http://bit.ly/4eBu2k please 
1519522,4,2176091170,Mon Jun 15 02:53:23 PDT 2009,NO_QUERY,iLadySyncere,@SongzYuuup Love u Trigga! Go ham or go spam! Up n here! O yeahhh! :-P Haha lol 
1172405,4,1980619258,Sun May 31 07:14:11 PDT 2009,NO_QUERY,Tiffany0x,I'm making a tumblr! 
1000715,4,1880026377,Thu May 21 23:52:14 PDT 2009,NO_QUERY,Blink_LapSap,@EdricChin well thats good too but not always....evereything's good if you dont have too much of it 
1163916,4,1979714976,Sun May 31 04:12:41 PDT 2009,NO_QUERY,FallaRohmah,Today Im 1. Learned driving wiff my brudder 2. Went to beach wiff my family 
1312485,4,2013657652,Tue Jun 02 23:13:40 PDT 2009,NO_QUERY,hugmorehateless,@symphnysldr I'm seeing you July 16th!  I saw you at the palladium in worcester like a month ago. You're amazing and my inspiration. Ily!
421996,0,2062548457,Sat Jun 06 23:33:24 PDT 2009,NO_QUERY,lipless,"@slimofq why you no follow, meanie? "
815930,4,1551272193,Sat Apr 18 08:36:40 PDT 2009,NO_QUERY,DiaZerva,"@Kristinetweets thank you babe! We found a beautiful home just down the road, so it's packing time this weekend "
271386,0,1990008541,Mon Jun 01 03:34:21 PDT 2009,NO_QUERY,LaurenHawks,@heycassadee I know  but I think of it as 172 days.
132295,0,1835721529,Mon May 18 06:36:49 PDT 2009,NO_QUERY,radiance12,"had a great weekend but this monday is NOT going as planned, my youngest is getting sick all over "
324060,0,2005874655,Tue Jun 02 10:18:45 PDT 2009,NO_QUERY,neezat,@Star_cullen  me 2 
829747,4,1557217092,Sun Apr 19 02:42:50 PDT 2009,NO_QUERY,greatcaptor,Hi all  how are you people ?
1256883,4,1997580055,Mon Jun 01 17:05:49 PDT 2009,NO_QUERY,_strokemyEGO,@Jasmonique countdown number?! 
1492866,4,2069378870,Sun Jun 07 15:46:08 PDT 2009,NO_QUERY,megan92_,"its fizzy,its ginger,its phenomenal.got to love the irn bru adverts. "
1322498,4,2014802349,Wed Jun 03 02:44:12 PDT 2009,NO_QUERY,edsouza5,@Lassam hehehe   Who's Wojniak?
687026,0,2251172344,Sat Jun 20 02:39:49 PDT 2009,NO_QUERY,EanaEnergetic,hates to stay at home with parents 
871288,4,1678606171,Sat May 02 07:13:14 PDT 2009,NO_QUERY,DestinyTrack42,@JayAlbert Awww that is such a great way to start your day  How old is your daughter?
1575835,4,2189454358,Tue Jun 16 00:04:07 PDT 2009,NO_QUERY,xxxiloveutooxxx,finally got my internet working yay! 
101082,0,1794260877,Thu May 14 05:23:04 PDT 2009,NO_QUERY,Jhotvedt,I miss @ replies. Now I feel like I'm creeping my tweeps if I click on their pages.  #twitterfail #fixreplies
745333,0,2282314635,Mon Jun 22 11:12:44 PDT 2009,NO_QUERY,caitlintimney,@haleybogers  i dont think im getting of your twitters
165162,0,1960633846,Fri May 29 08:16:07 PDT 2009,NO_QUERY,McEntire1255,Moment of truth!! Im nervous for her! 
1068471,4,1965716442,Fri May 29 16:24:49 PDT 2009,NO_QUERY,MDG1122,@TheKellanLutz well...arent u brave...hahaha ...b careful 
10807,0,1551074078,Sat Apr 18 08:04:38 PDT 2009,NO_QUERY,JennRuss,I'm freaking out about Zachy going to the dentist  I wish he didn't have to go thru this. I'd like to go outside but house is trashed.
618372,0,2227503380,Thu Jun 18 13:16:43 PDT 2009,NO_QUERY,beatboxbadhabit,@gokrissygo that's a good idea then you could listen to me bitch that it is freezing 
273557,0,1990424882,Mon Jun 01 04:50:10 PDT 2009,NO_QUERY,mliyanagamage,Can't get the damn google desktop gadget for google reader to work 
450438,0,2069503102,Sun Jun 07 15:59:57 PDT 2009,NO_QUERY,stolenrain,@jeorgina IT'S BOTHER SOME GEORGUMSIEEEE 
1424031,4,2058796222,Sat Jun 06 15:38:40 PDT 2009,NO_QUERY,Mondayisntfunny,@LifeQuips @PARKPLACEMTG Roll over and show me some tummy you furry bitches! 
922992,4,1754574379,Sun May 10 06:43:39 PDT 2009,NO_QUERY,Cianjg,@Abongachong Standard placebo tunning  ha
770835,0,2302126125,Tue Jun 23 16:22:32 PDT 2009,NO_QUERY,taylorbee89,"can't wait to see transformers! but i'm gonna have to wait one more day, no midnight showing for me "
159148,0,1956771838,Thu May 28 22:39:01 PDT 2009,NO_QUERY,ashleylovesy,"also, gabe should probably email me back or something.   i get worried too easily!"
1121124,4,1974071203,Sat May 30 12:22:59 PDT 2009,NO_QUERY,this_years_girl,@Craigatscifi I promise to stop telling people SyFy looks like an abbreviation for syphilis if you guys pick up #TSCC  &lt;3
280077,0,1991961391,Mon Jun 01 07:57:59 PDT 2009,NO_QUERY,_Greyson_Rose_,@TheLastDoctor ooc: *crushed dreams and hopes...* The cake is a lie.. 
940869,4,1794070417,Thu May 14 04:52:22 PDT 2009,NO_QUERY,diventare,Talking to @Ilovetosaydada on AIM. Yay! 
251996,0,1983618391,Sun May 31 13:30:16 PDT 2009,NO_QUERY,Silversea23,@Alkar Drive was long....very very long.  Getting a speeding ticket sure didn't help. 
1542569,4,2181101084,Mon Jun 15 11:22:07 PDT 2009,NO_QUERY,3slinky1girl1,@granola27 oh yea...i watched it online...i was out last night so missed it...but it gets online really quick. 
1188,0,1468101990,Mon Apr 06 23:43:26 PDT 2009,NO_QUERY,MellyFed,headache 
800169,4,1467844076,Mon Apr 06 22:28:31 PDT 2009,NO_QUERY,WillBeebe,@Infinitarchitek Feels pretty good doesn't it? 
1407204,4,2055478170,Sat Jun 06 09:23:24 PDT 2009,NO_QUERY,MaschaD,@jordanknight ill be there in spirit 
373558,0,2051036234,Fri Jun 05 19:44:44 PDT 2009,NO_QUERY,josiecat85,@jesstar619208 @cheergurl9732 @coleyrenee @mileycyrus flip yes we could...although i suck at life an directions so i cant show her 
743662,0,2266907873,Sun Jun 21 09:18:02 PDT 2009,NO_QUERY,erinseelert,my neck is jacked  boooooo
499884,0,2186672567,Mon Jun 15 19:10:15 PDT 2009,NO_QUERY,nikkiewentz,im signing off now. twitter is more of a thing where i talk to myself. its not as amusing anymore...  
180007,0,1966443341,Fri May 29 17:46:36 PDT 2009,NO_QUERY,DearCami, I miss you.Where are you? D:
991930,4,1835181670,Mon May 18 05:21:30 PDT 2009,NO_QUERY,travlR,@krisrock Eric stays at home. I took the wrong login this morning. 
858815,4,1675861958,Fri May 01 20:30:25 PDT 2009,NO_QUERY,kaito1412,"@mileycyrus http://twitpic.com/4dldq hey miley, this girl kinda looks just like you! lol "
1147224,4,1978041246,Sat May 30 22:17:40 PDT 2009,NO_QUERY,shontelsherrea,@Jaicenia sushi dan said he loves u too 
1212839,4,1989288695,Mon Jun 01 01:00:18 PDT 2009,NO_QUERY,shoutillusion,@joAnn_was_here &quot;I'm On a Boat&quot; - The Lonely Island. WHOT YOU DIDN'T KNOWWWW?! XD hahaha 
228495,0,1978273814,Sat May 30 22:53:32 PDT 2009,NO_QUERY,giusi_gurl,No love. Just lies. 
