,postId,Score,userId,ViewCount,CommentCount,Reputation,Views,UpVotes,DownVotes,outlier_col
282,14002,42,36,14706,0,1570,173,26,1,Score
285,21071,7,36,161,0,1570,173,26,1,Score
286,31726,12,36,7912,1,1570,173,26,1,Score
288,15,13,6,0,0,457,114,47,0,Score
293,9329,9,6,938,4,457,114,47,0,Score
296,25770,40,6,0,1,457,114,47,0,Score
300,19,12,55,0,0,366,16,48,1,Score
302,54,11,55,497,5,366,16,48,1,Score
308,638,8,59,771,0,402,82,51,0,Score
313,1252,22,59,5329,1,402,82,51,0,Score
315,1719,7,59,884,1,402,82,51,0,Score
318,5814,7,59,239,7,402,82,51,0,Score
333,22,102,66,21916,1,614,102,12,0,Score
334,23,10,69,7694,1,530,174,630,6,Score
335,25,7,69,2095,4,530,174,630,6,Score
336,30,7,69,705,2,530,174,630,6,Score
338,40,8,69,491,1,530,174,630,6,Score
341,81,7,69,0,0,530,174,630,6,Score
342,387,36,69,0,0,530,174,630,6,Score
343,4254,13,69,0,8,530,174,630,6,Score
344,24,17,61,0,0,1956,147,39,4,Score
348,121,71,61,0,6,1956,147,39,4,Score
349,127,18,61,0,2,1956,147,39,4,Score
350,188,21,61,0,4,1956,147,39,4,Score
352,320,14,61,0,0,1956,147,39,4,Score
354,353,11,61,0,1,1956,147,39,4,Score
355,376,9,61,0,0,1956,147,39,4,Score
360,599,9,61,0,0,1956,147,39,4,Score
364,1319,9,61,0,4,1956,147,39,4,Score
367,26,18,75,3476,14,321,44,4,0,Score
369,942,15,75,1955,0,321,44,4,0,Score
371,44,8,68,453,1,503,42,10,0,Score
373,58,10,68,1667,0,503,42,10,0,Score
374,378,11,68,0,0,503,42,10,0,Score
375,517,13,68,1760,2,503,42,10,0,Score
376,648,13,68,0,7,503,42,10,0,Score
377,31,66,13,175495,3,817,178,44,1,Score
378,86,8,13,0,5,817,178,44,1,Score
379,175,29,13,28291,1,817,178,44,1,Score
381,244,17,13,0,4,817,178,44,1,Score
382,425,88,13,0,0,817,178,44,1,Score
383,455,27,13,0,1,817,178,44,1,Score
388,35,10,54,1223,0,360,18,21,2,Score
389,349,8,54,0,5,360,18,21,2,Score
390,618,15,54,0,6,360,18,21,2,Score
391,2580,8,54,498,4,360,18,21,2,Score
392,13346,11,54,1157,1,360,18,21,2,Score
393,41,8,83,0,0,804,64,11,0,Score
394,118,122,83,39118,11,804,64,11,0,Score
395,42,12,80,0,3,211,16,7,0,Score
396,185,10,80,0,2,211,16,7,0,Score
398,43,7,74,0,5,2316,1126,74,65,Score
399,61,22,74,0,5,2316,1126,74,65,Score
400,77,16,74,0,7,2316,1126,74,65,Score
401,104,16,74,0,0,2316,1126,74,65,Score
402,137,15,74,0,2,2316,1126,74,65,Score
403,149,8,74,0,0,2316,1126,74,65,Score
404,162,14,74,0,4,2316,1126,74,65,Score
405,165,56,74,22890,3,2316,1126,74,65,Score
406,172,10,74,0,1,2316,1126,74,65,Score
407,178,9,74,0,0,2316,1126,74,65,Score
408,182,16,74,0,0,2316,1126,74,65,Score
412,363,52,74,5188,2,2316,1126,74,65,Score
414,453,8,74,0,0,2316,1126,74,65,Score
419,680,17,74,0,2,2316,1126,74,65,Score
421,694,66,74,0,1,2316,1126,74,65,Score
423,1023,7,74,692,1,2316,1126,74,65,Score
426,1525,11,74,13526,3,2316,1126,74,65,Score
428,1760,36,74,0,0,2316,1126,74,65,Score
429,1996,11,74,0,1,2316,1126,74,65,Score
431,2125,26,74,36345,3,2316,1126,74,65,Score
432,2150,17,74,0,4,2316,1126,74,65,Score
436,2358,9,74,8826,0,2316,1126,74,65,Score
437,2499,18,74,4758,4,2316,1126,74,65,Score
443,4735,8,74,1256,0,2316,1126,74,65,Score
444,5018,7,74,0,1,2316,1126,74,65,Score
445,5019,39,74,0,0,2316,1126,74,65,Score
446,5122,20,74,0,6,2316,1126,74,65,Score
447,5123,19,74,0,3,2316,1126,74,65,Score
448,5124,40,74,0,6,2316,1126,74,65,Score
449,5125,34,74,0,0,2316,1126,74,65,Score
450,5155,35,74,0,2,2316,1126,74,65,Score
451,5511,7,74,0,0,2316,1126,74,65,Score
454,5530,7,74,0,1,2316,1126,74,65,Score
461,10251,10,74,1265,10,2316,1126,74,65,Score
462,11305,18,74,0,2,2316,1126,74,65,Score
472,50,18,62,2414,4,549,90,13,3,Score
473,269,11,62,53644,0,549,90,13,3,Score
474,279,9,62,0,0,549,90,13,3,Score
475,295,8,62,0,0,549,90,13,3,Score
479,835,9,62,0,2,549,90,13,3,Score
482,47,7,22,312,2,591,90,693,6,Score
483,70,15,22,0,1,591,90,693,6,Score
484,73,24,22,5717,5,591,90,693,6,Score
488,144,17,22,0,0,591,90,693,6,Score
502,4589,18,22,0,1,591,90,693,6,Score
505,6614,7,22,0,0,591,90,693,6,Score
509,10470,7,22,0,0,591,90,693,6,Score
518,64484,7,22,180,2,591,90,693,6,Score
521,53,40,17,25962,4,345,14,13,1,Score
522,1104,15,17,0,0,345,14,13,1,Score
524,55,7,56,0,0,563,64,10,0,Score
529,317,18,56,0,0,563,64,10,0,Score
530,408,8,56,0,0,563,64,10,0,Score
543,59,24,39,0,1,1651,255,12,0,Score
544,98,10,39,0,0,1651,255,12,0,Score
545,113,9,39,413,5,1651,255,12,0,Score
546,135,7,39,0,3,1651,255,12,0,Score
547,429,14,39,0,5,1651,255,12,0,Score
549,522,12,39,0,1,1651,255,12,0,Score
550,558,11,39,339,0,1651,255,12,0,Score
551,583,37,39,0,2,1651,255,12,0,Score
552,824,15,39,0,2,1651,255,12,0,Score
560,120,39,41,0,4,611,83,12,0,Score
562,63,25,87,0,2,740,89,58,2,Score
563,85,15,87,0,2,740,89,58,2,Score
564,91,10,87,0,0,740,89,58,2,Score
565,196,19,87,4090,2,740,89,58,2,Score
567,940,7,87,0,0,740,89,58,2,Score
580,5366,7,96,1487,0,441,80,18,0,Score
585,74,25,88,0,0,14082,3320,4235,126,Score
587,99,7,88,0,1,14082,3320,4235,126,Score
589,140,7,88,0,0,14082,3320,4235,126,Score
591,255,8,88,0,1,14082,3320,4235,126,Score
592,265,14,88,0,0,14082,3320,4235,126,Score
602,424,109,88,0,3,14082,3320,4235,126,Score
603,435,84,88,0,1,14082,3320,4235,126,Score
605,462,8,88,0,0,14082,3320,4235,126,Score
607,483,14,88,0,2,14082,3320,4235,126,Score
612,526,7,88,466,0,14082,3320,4235,126,Score
613,547,8,88,0,0,14082,3320,4235,126,Score
622,631,22,88,4341,0,14082,3320,4235,126,Score
625,658,14,88,0,13,14082,3320,4235,126,Score
639,1004,10,88,0,6,14082,3320,4235,126,Score
653,1374,7,88,0,3,14082,3320,4235,126,Score
656,1765,8,88,0,0,14082,3320,4235,126,Score
667,2179,17,88,2486,0,14082,3320,4235,126,Score
674,2359,8,88,0,0,14082,3320,4235,126,Score
675,2362,10,88,0,7,14082,3320,4235,126,Score
680,2455,10,88,2740,0,14082,3320,4235,126,Score
683,2718,24,88,0,0,14082,3320,4235,126,Score
700,3076,8,88,0,1,14082,3320,4235,126,Score
701,3237,7,88,0,0,14082,3320,4235,126,Score
706,3515,10,88,0,3,14082,3320,4235,126,Score
711,3940,18,88,0,3,14082,3320,4235,126,Score
713,3949,11,88,0,1,14082,3320,4235,126,Score
714,3954,64,88,0,3,14082,3320,4235,126,Score
719,4064,10,88,0,4,14082,3320,4235,126,Score
720,4211,15,88,1230,0,14082,3320,4235,126,Score
732,5099,7,88,0,1,14082,3320,4235,126,Score
734,5140,20,88,0,4,14082,3320,4235,126,Score
736,5311,14,88,0,14,14082,3320,4235,126,Score
737,5379,7,88,0,1,14082,3320,4235,126,Score
744,6030,7,88,0,4,14082,3320,4235,126,Score
749,6190,14,88,0,1,14082,3320,4235,126,Score
751,6298,22,88,3093,4,14082,3320,4235,126,Score
757,7304,9,88,0,1,14082,3320,4235,126,Score
760,7622,11,88,0,7,14082,3320,4235,126,Score
765,8077,29,88,0,0,14082,3320,4235,126,Score
767,8650,10,88,0,3,14082,3320,4235,126,Score
769,8914,8,88,0,0,14082,3320,4235,126,Score
771,8978,17,88,0,0,14082,3320,4235,126,Score
772,9084,7,88,0,3,14082,3320,4235,126,Score
784,10028,17,88,0,3,14082,3320,4235,126,Score
793,11471,11,88,0,2,14082,3320,4235,126,Score
803,12763,10,88,649,1,14082,3320,4235,126,Score
805,13008,8,88,0,1,14082,3320,4235,126,Score
812,13539,10,88,0,0,14082,3320,4235,126,Score
813,13547,8,88,0,3,14082,3320,4235,126,Score
814,13601,12,88,0,2,14082,3320,4235,126,Score
830,16114,8,88,0,2,14082,3320,4235,126,Score
835,17620,12,88,0,3,14082,3320,4235,126,Score
840,18220,10,88,0,2,14082,3320,4235,126,Score
842,19232,10,88,0,0,14082,3320,4235,126,Score
846,21621,9,88,0,0,14082,3320,4235,126,Score
849,21938,7,88,0,2,14082,3320,4235,126,Score
858,25692,25,88,0,8,14082,3320,4235,126,Score
863,29078,7,88,0,0,14082,3320,4235,126,Score
869,30727,9,88,0,2,14082,3320,4235,126,Score
870,30747,8,88,0,0,14082,3320,4235,126,Score
876,34051,7,88,0,1,14082,3320,4235,126,Score
878,37382,19,88,0,3,14082,3320,4235,126,Score
883,40866,7,88,0,1,14082,3320,4235,126,Score
893,46392,7,88,0,1,14082,3320,4235,126,Score
897,49250,8,88,0,1,14082,3320,4235,126,Score
899,49698,12,88,0,0,14082,3320,4235,126,Score
904,55483,9,88,0,0,14082,3320,4235,126,Score
906,58015,8,88,0,8,14082,3320,4235,126,Score
907,58980,9,88,0,0,14082,3320,4235,126,Score
908,59632,10,88,0,3,14082,3320,4235,126,Score
927,190,7,25,0,0,4968,641,328,23,Score
930,656,61,25,0,1,4968,641,328,23,Score
931,673,8,25,0,3,4968,641,328,23,Score
933,720,18,25,0,4,4968,641,328,23,Score
935,810,7,25,0,3,4968,641,328,23,Score
937,823,-7,25,0,8,4968,641,328,23,Score
938,956,10,25,0,1,4968,641,328,23,Score
940,997,9,25,0,2,4968,641,328,23,Score
942,1792,12,25,0,5,4968,641,328,23,Score
944,1844,13,25,3142,7,4968,641,328,23,Score
945,2053,7,25,0,0,4968,641,328,23,Score
946,2129,15,25,0,1,4968,641,328,23,Score
947,2501,61,25,0,3,4968,641,328,23,Score
951,5599,7,25,0,4,4968,641,328,23,Score
953,6618,9,25,0,8,4968,641,328,23,Score
955,9800,24,25,0,3,4968,641,328,23,Score
957,12002,14,25,3883,6,4968,641,328,23,Score
958,12991,16,25,0,9,4968,641,328,23,Score
963,15946,7,25,0,2,4968,641,328,23,Score
966,16354,10,25,0,2,4968,641,328,23,Score
972,29158,10,25,2305,14,4968,641,328,23,Score
978,31591,21,25,1131,11,4968,641,328,23,Score
979,32076,8,25,0,2,4968,641,328,23,Score
980,32385,16,25,0,4,4968,641,328,23,Score
994,45442,9,25,0,10,4968,641,328,23,Score
1003,65044,11,25,418,7,4968,641,328,23,Score
1025,80911,10,25,0,0,4968,641,328,23,Score
1042,92143,7,25,0,1,4968,641,328,23,Score
1052,111283,7,25,367,1,4968,641,328,23,Score
1060,114763,31,25,3494,6,4968,641,328,23,Score
1061,80,8,93,0,2,96,3,2,0,Score
1064,97,35,114,14608,1,708,61,44,1,Score
1068,1356,51,114,0,2,708,61,44,1,Score
1073,6804,7,114,0,0,708,61,44,1,Score
1079,33843,10,114,0,0,708,61,44,1,Score
1081,105,19,46,0,1,111,350,59,15,Score
1082,107,11,46,0,0,111,350,59,15,Score
1088,296,10,127,0,0,236,46,29,1,Score
1089,750,17,127,0,6,236,46,29,1,Score
1091,752,28,127,0,6,236,46,29,1,Score
1092,753,78,127,0,1,236,46,29,1,Score
1093,1223,11,127,3783,11,236,46,29,1,Score
1094,116,12,72,0,4,800,77,58,0,Score
1095,692,9,72,332,0,800,77,58,0,Score
1100,22704,8,72,0,6,800,77,58,0,Score
1106,123,13,130,0,0,241,24,2,0,Score
1109,124,23,131,1131,0,216,14,6,0,Score
1112,130,30,90,7111,10,561,287,27,0,Score
1114,270,12,90,1291,0,561,287,27,0,Score
1115,274,10,90,0,3,561,287,27,0,Score
1116,276,8,90,1517,0,561,287,27,0,Score
1117,287,7,90,1068,1,561,287,27,0,Score
1118,359,9,90,425,1,561,287,27,0,Score
1119,367,17,90,0,1,561,287,27,0,Score
1125,9299,11,139,375,8,758,241,41,0,Score
1126,9338,9,139,0,2,758,241,41,0,Score
1135,14184,7,139,0,0,758,241,41,0,Score
1137,29332,9,139,397,1,758,241,41,0,Score
1141,134,10,138,4572,6,231,24,20,0,Score
1144,238,8,138,0,0,231,24,20,0,Score
1145,2291,9,138,1672,0,231,24,20,0,Score
1146,138,67,142,14326,4,185,19,10,0,Score
1150,6534,7,142,23465,0,185,19,10,0,Score
1151,146,12,144,4419,3,1396,269,477,1,Score
1153,612,12,144,3981,4,1396,269,477,1,Score
1155,969,7,144,0,0,1396,269,477,1,Score
1157,1352,10,144,864,0,1396,269,477,1,Score
1159,1764,17,144,1101,6,1396,269,477,1,Score
1160,2591,7,144,2988,1,1396,269,477,1,Score
1162,3558,8,144,0,4,1396,269,477,1,Score
1164,5128,7,144,282,0,1396,269,477,1,Score
1167,6350,18,144,16285,5,1396,269,477,1,Score
1170,9191,7,144,0,0,1396,269,477,1,Score
1183,30796,13,144,0,0,1396,269,477,1,Score
1184,30925,7,144,0,0,1396,269,477,1,Score
1192,151,60,81,0,4,1307,80,86,0,Score
1194,176,18,81,0,2,1307,80,86,0,Score
1196,282,23,81,0,3,1307,80,86,0,Score
1201,159,8,145,0,0,99,8,4,0,Score
1204,154,20,108,0,3,305,171,4,0,Score
1206,1015,7,108,699,2,305,171,4,0,Score
1208,155,27,154,3293,2,321,23,6,0,Score
1209,161,9,154,2304,0,321,23,6,0,Score
1210,166,10,154,12304,0,321,23,6,0,Score
1213,1458,23,148,2431,1,228,11,12,0,Score
1217,167,10,159,0,4,18283,3781,1014,59,Score
1219,171,8,159,0,0,18283,3781,1014,59,Score
1220,174,35,159,0,0,18283,3781,1014,59,Score
1221,177,22,159,0,2,18283,3781,1014,59,Score
1222,179,12,159,0,0,18283,3781,1014,59,Score
1223,181,50,159,39097,0,18283,3781,1014,59,Score
1225,213,51,159,9772,3,18283,3781,1014,59,Score
1226,221,15,159,0,2,18283,3781,1014,59,Score
1227,229,10,159,0,2,18283,3781,1014,59,Score
1228,261,12,159,0,4,18283,3781,1014,59,Score
1229,370,27,159,0,2,18283,3781,1014,59,Score
1230,530,8,159,0,0,18283,3781,1014,59,Score
1232,532,12,159,0,5,18283,3781,1014,59,Score
1233,534,44,159,11149,6,18283,3781,1014,59,Score
1234,541,14,159,0,3,18283,3781,1014,59,Score
1235,587,31,159,0,6,18283,3781,1014,59,Score
1236,610,9,159,0,0,18283,3781,1014,59,Score
1237,622,15,159,3833,0,18283,3781,1014,59,Score
1239,729,74,159,0,6,18283,3781,1014,59,Score
1240,730,146,159,0,5,18283,3781,1014,59,Score
1241,862,16,159,0,4,18283,3781,1014,59,Score
1244,1026,24,159,0,6,18283,3781,1014,59,Score
1245,1055,20,159,0,2,18283,3781,1014,59,Score
1247,1150,36,159,0,3,18283,3781,1014,59,Score
1248,1153,29,159,0,8,18283,3781,1014,59,Score
1251,1206,9,159,0,11,18283,3781,1014,59,Score
1252,1214,17,159,0,6,18283,3781,1014,59,Score
1255,1295,9,159,0,5,18283,3781,1014,59,Score
1256,1382,36,159,0,0,18283,3781,1014,59,Score
1258,1442,11,159,0,0,18283,3781,1014,59,Score
1259,1444,66,159,28878,5,18283,3781,1014,59,Score
1261,1497,7,159,0,1,18283,3781,1014,59,Score
1264,1630,27,159,0,0,18283,3781,1014,59,Score
1265,1639,17,159,0,2,18283,3781,1014,59,Score
1266,1647,8,159,0,1,18283,3781,1014,59,Score
1267,1720,7,159,0,4,18283,3781,1014,59,Score
1269,1806,14,159,0,4,18283,3781,1014,59,Score
1274,2367,7,159,0,12,18283,3781,1014,59,Score
1276,2724,18,159,0,0,18283,3781,1014,59,Score
1278,3002,9,159,0,2,18283,3781,1014,59,Score
1280,3128,9,159,0,0,18283,3781,1014,59,Score
1282,3184,20,159,0,0,18283,3781,1014,59,Score
1287,3408,8,159,0,0,18283,3781,1014,59,Score
1288,3543,25,159,0,1,18283,3781,1014,59,Score
1289,3553,25,159,0,2,18283,3781,1014,59,Score
1292,3733,32,159,0,4,18283,3781,1014,59,Score
1293,3752,12,159,366,6,18283,3781,1014,59,Score
1296,4103,8,159,0,0,18283,3781,1014,59,Score
1303,4490,9,159,0,4,18283,3781,1014,59,Score
1305,4716,16,159,0,0,18283,3781,1014,59,Score
1308,5496,7,159,0,1,18283,3781,1014,59,Score
1311,5830,8,159,0,2,18283,3781,1014,59,Score
1312,6332,10,159,0,5,18283,3781,1014,59,Score
1313,6333,13,159,0,1,18283,3781,1014,59,Score
1314,6476,16,159,0,3,18283,3781,1014,59,Score
1315,6500,12,159,0,1,18283,3781,1014,59,Score
1316,6596,12,159,0,3,18283,3781,1014,59,Score
1317,6973,7,159,0,3,18283,3781,1014,59,Score
1319,7828,13,159,0,1,18283,3781,1014,59,Score
1320,8398,9,159,0,2,18283,3781,1014,59,Score
1322,8751,7,159,0,1,18283,3781,1014,59,Score
1325,9144,15,159,0,6,18283,3781,1014,59,Score
1328,11649,7,159,0,1,18283,3781,1014,59,Score
1332,13530,8,159,226,6,18283,3781,1014,59,Score
1337,14923,9,159,0,9,18283,3781,1014,59,Score
1341,17187,8,159,0,1,18283,3781,1014,59,Score
1355,23123,7,159,0,4,18283,3781,1014,59,Score
1362,24610,11,159,0,4,18283,3781,1014,59,Score
1377,29442,8,159,0,0,18283,3781,1014,59,Score
1387,32764,10,159,0,7,18283,3781,1014,59,Score
1388,32799,9,159,0,2,18283,3781,1014,59,Score
1389,32800,7,159,0,0,18283,3781,1014,59,Score
1393,33958,13,159,0,7,18283,3781,1014,59,Score
1399,35329,7,159,0,5,18283,3781,1014,59,Score
1402,41072,7,159,0,1,18283,3781,1014,59,Score
1418,47733,9,159,0,0,18283,3781,1014,59,Score
1422,50766,7,159,0,1,18283,3781,1014,59,Score
1465,68395,8,159,0,3,18283,3781,1014,59,Score
1494,91462,26,159,486,4,18283,3781,1014,59,Score
1510,173,15,71,2519,0,1936,328,2317,1,Score
1511,319,15,71,0,2,1936,328,2317,1,Score
1513,1326,7,71,0,2,1936,328,2317,1,Score
1514,1378,8,71,219,2,1936,328,2317,1,Score
1516,2272,71,71,24738,2,1936,328,2317,1,Score
1519,3028,16,71,0,0,1936,328,2317,1,Score
1521,3064,9,71,345,4,1936,328,2317,1,Score
1524,4394,9,71,7407,3,1936,328,2317,1,Score
1529,6173,10,71,0,5,1936,328,2317,1,Score
1532,8050,14,71,0,7,1936,328,2317,1,Score
1539,15679,7,71,0,1,1936,328,2317,1,Score
1546,25509,12,71,0,2,1936,328,2317,1,Score
1555,226,12,173,0,2,453,39,15,0,Score
1557,377,7,173,0,0,453,39,15,0,Score
1561,894,22,1356,0,3,745,129,115,1,Score
1563,968,58,1356,0,3,745,129,115,1,Score
1565,1050,9,1356,0,3,745,129,115,1,Score
1569,1645,14,1356,6412,1,745,129,115,1,Score
1571,2181,13,1356,4122,2,745,129,115,1,Score
1572,2824,13,1356,1590,0,745,129,115,1,Score
1577,21117,8,1356,402,0,745,129,115,1,Score
1581,10711,10,175,203,3,236,46,53,0,Score
1588,200,13,174,0,3,792,78,163,4,Score
1589,209,19,174,0,4,792,78,163,4,Score
1590,539,34,174,9369,2,792,78,163,4,Score
1591,1815,21,174,5593,4,792,78,163,4,Score
1596,3410,11,174,0,0,792,78,163,4,Score
1599,201,8,183,0,0,22625,4069,2496,45,Score
1600,202,11,183,0,0,22625,4069,2496,45,Score
1601,203,16,183,6033,2,22625,4069,2496,45,Score
1602,204,7,183,0,2,22625,4069,2496,45,Score
1603,210,9,183,0,3,22625,4069,2496,45,Score
1605,485,48,183,4470,3,22625,4069,2496,45,Score
1606,488,10,183,0,1,22625,4069,2496,45,Score
1607,540,9,183,0,0,22625,4069,2496,45,Score
1608,542,7,183,0,0,22625,4069,2496,45,Score
1610,544,13,183,0,0,22625,4069,2496,45,Score
1611,546,29,183,0,5,22625,4069,2496,45,Score
1612,755,36,183,0,1,22625,4069,2496,45,Score
1618,1059,25,183,0,0,22625,4069,2496,45,Score
1619,1217,8,183,0,1,22625,4069,2496,45,Score
1624,1391,8,183,0,4,22625,4069,2496,45,Score
1627,1411,13,183,0,0,22625,4069,2496,45,Score
1630,1527,18,183,0,6,22625,4069,2496,45,Score
1631,1579,60,183,0,3,22625,4069,2496,45,Score
1632,1580,12,183,7655,2,22625,4069,2496,45,Score
1633,1596,7,183,0,0,22625,4069,2496,45,Score
1634,1597,26,183,0,2,22625,4069,2496,45,Score
1635,1628,7,183,0,0,22625,4069,2496,45,Score
1638,1646,7,183,1032,3,22625,4069,2496,45,Score
1644,1763,16,183,0,7,22625,4069,2496,45,Score
1647,1823,12,183,0,6,22625,4069,2496,45,Score
1652,1879,7,183,0,2,22625,4069,2496,45,Score
1657,1979,7,183,0,0,22625,4069,2496,45,Score
1658,1980,53,183,2985,0,22625,4069,2496,45,Score
1666,2061,11,183,1054,1,22625,4069,2496,45,Score
